hmdb_id,metabolite,smiles,inchikey,status
HMDB0000926,Pyridine,C1=CC=NC=C1,JUJWROOIHBZHMG-UHFFFAOYSA-N,detected
HMDB0000929,L-Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,QIVBCDIJIAJPQS-VIFPVBQESA-N,quantified
HMDB0000951,Taurochenodesoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,BHTRKEVKTKCXOH-BJLOMENOSA-N,quantified
HMDB0000982,5-Methylcytidine,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N=C1N,ZAYHVCMSTBRABG-JXOAFFINSA-N,quantified
HMDB0000990,Acetaldehyde,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,quantified
HMDB0001032,Dehydroepiandrosterone sulfate,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,CZWCKYRVOZZJNM-USOAJAOKSA-N,quantified
HMDB0001035,Angiotensin II,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,CZGUSIXMZVURDU-JZXHSEFVSA-N,quantified
HMDB0001049,gamma-Glutamylcysteine,N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O,RITKHVBHSGLULN-WHFBIAKZSA-N,quantified
HMDB0001051,Glyceraldehyde,OCC(O)C=O,MNQZXJOMYWMBOU-UHFFFAOYSA-N,quantified
HMDB0001140,Octanal,CCCCCCCC=O,NUJGJRNETVAIRJ-UHFFFAOYSA-N,quantified
HMDB0001183,Octanol,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,quantified
HMDB0001184,Methyl propenyl ketone,C\C=C\C(C)=O,LABTWGUMFABVFG-ONEGZZNKSA-N,detected
HMDB0001247,Aluminum,[Al],XAGFODPZIPBFFR-UHFFFAOYSA-N,quantified
HMDB0001257,Spermidine,NCCCCNCCCN,ATHGHQPFGPMSJY-UHFFFAOYSA-N,quantified
HMDB0001302,Molybdenum,[Mo++],MMVYPOCJESWGTC-UHFFFAOYSA-N,quantified
